subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,blue,no arms,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,L,shared,red,zigzag,A,unique,red,thriller,A,unique,red,thriller,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,L,shared,red,zigzag,H,unique,red,baby,H,unique,red,baby,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,L,shared,red,zigzag,A,unique,red,thriller,A,unique,red,thriller,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,B,shared,red,mouse,D,unique,red,priest,B,shared,red,mouse,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,one,red,B,shared,,mouse,B,,unseen,princess dance,B,,unseen,princess dance,yes
