subject_id,item_id,counterbalance,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,D,shared,blue,priest,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,D,shared,red,priest,L,unique,red,zigzag,L,unique,red,zigzag,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,A,shared,red,thriller,B,unique,red,mouse,B,unique,red,mouse,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,one,blue,A,shared,blue,thriller,A,,unseen,zombie,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,H,shared,blue,baby,L,unique,blue,bent knees,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,refer,one,red,H,shared,red,baby,H,,unseen,no arms,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,blue,priest,B,unique,blue,princess dance,D,shared,blue,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,blue,baby,B,unique,blue,princess dance,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,H,shared,blue,baby,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,social,one,red,C,unique,red,falling guy,C,unique,blue,no legs,C,unique,red,falling guy,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,A,shared,blue,thriller,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,H,shared,blue,baby,L,unique,blue,bent knees,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,blue,thriller,L,unique,blue,bent knees,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,red,priest,B,unique,red,mouse,D,shared,red,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,D,shared,blue,priest,C,unique,blue,no legs,D,shared,blue,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,red,priest,L,unique,red,zigzag,D,shared,red,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,H,shared,red,baby,B,unique,red,mouse,B,unique,red,mouse,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,blue,H,shared,blue,baby,C,unique,blue,no legs,C,unique,blue,no legs,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,H,shared,red,baby,C,unique,red,falling guy,H,shared,red,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,blue,H,shared,blue,baby,B,unique,blue,princess dance,H,shared,blue,baby,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,blue,thriller,B,unique,blue,princess dance,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,A,shared,red,thriller,C,unique,red,falling guy,C,unique,red,falling guy,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,red,thriller,C,unique,red,falling guy,A,shared,red,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,D,shared,blue,priest,L,unique,blue,bent knees,D,shared,blue,priest,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,one,red,A,shared,red,thriller,L,unique,red,zigzag,L,unique,red,zigzag,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,refer,either,,A,shared,blue,thriller,C,unique,blue,no legs,A,shared,blue,thriller,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,D,shared,red,priest,B,unique,red,mouse,B,unique,red,mouse,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,diff,social,one,red,D,shared,red,priest,C,unique,red,falling guy,C,unique,red,falling guy,yes
32503cf8-82cd-4aea-b515-9b247c56f89c,0,b,same,social,one,red,B,unique,red,mouse,B,unique,blue,princess dance,B,unique,red,mouse,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,same,refer,one,blue,L,shared,blue,zigzag,L,,unseen,bent knees,L,shared,blue,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,red,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,same,refer,either,,B,shared,blue,mouse,B,,unseen,princess dance,B,shared,blue,mouse,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
