subject_id,item_id,counterbalance,trial_num,selected_tangram_group,written_label,max_blue_sim,max_red_sim,mean_blue_sim,mean_red_sim
664c9b0ad734c7bd6e1144bb,1,a,4,blue_specific,Guy facing the right praying.,0.39527004957199097,0.4483398199081421,0.12136308441404253,0.14922773686703295
664c9b0ad734c7bd6e1144bb,1,a,5,red_specific,innocent one,0.3496825695037842,0.9525120258331299,0.12701618717983365,0.31825731694698334
664c9b0ad734c7bd6e1144bb,1,a,6,blue_specific,yoga,0.863739013671875,0.1849135309457779,0.244202789850533,0.08535561128519475
664c9b0ad734c7bd6e1144bb,1,a,7,red_specific,Horse,0.3521376848220825,1.0,0.14557477284688503,0.27472345903515816
664c9b0ad734c7bd6e1144bb,1,a,10,blue_specific,duck,1.0,0.3521376848220825,0.1965476106852293,0.19695431552827358
664c9b0ad734c7bd6e1144bb,1,a,11,blue_specific,candle,0.2516828179359436,0.2716138958930969,0.09456181328278035,0.10262027755379677
664c9b0ad734c7bd6e1144bb,1,a,14,red_specific,sad guy,0.2564863860607147,0.7999447584152222,0.07805385207757354,0.23599212523549795
664c9b0ad734c7bd6e1144bb,1,a,26,red_specific,Innocent one,0.3496825695037842,0.9525120258331299,0.12701618717983365,0.31825731694698334
664c9b0ad734c7bd6e1144bb,1,a,28,blue_specific,Woman with triangle praying to the right,0.30352306365966797,0.2612214982509613,0.12135962001048028,0.10862049309071153
664c9b0ad734c7bd6e1144bb,1,a,29,blue_specific,Blue square with diamond head.,0.3770483136177063,0.28402358293533325,0.1389925703406334,0.1280726701952517
664c9b0ad734c7bd6e1144bb,1,a,30,blue_specific,man prayingz,0.40870434045791626,0.4882374405860901,0.10692855482921004,0.16791688278317451
664c9b0ad734c7bd6e1144bb,1,a,31,red_specific,horse,0.3521376848220825,1.0,0.14557477284688503,0.27472345903515816
664c9b0ad734c7bd6e1144bb,1,a,32,blue_specific,guy kneeling to the right,0.5544934868812561,0.20579072833061218,0.17382870567962527,0.078296746884007
664c9b0ad734c7bd6e1144bb,1,a,38,blue_specific,woman in dress praying,0.29773470759391785,0.3490740656852722,0.06490827514789999,0.08893610956147313
664c9b0ad734c7bd6e1144bb,1,a,45,blue_specific,begging,0.33380377292633057,0.3453463017940521,0.125368966255337,0.1737949198577553
