model,specification,singular,estimate,SE,stat,p
tangram_choice,intercepts only,FALSE,-0.13553397491772934,0.025195858528095565,-5.379216380604662,7.481074969119001e-8
tangram_choice,final (reported),FALSE,-0.12959095695851494,0.03411024902173966,-3.7991794453309935,1.4517595236839356e-4
tangram_choice,maximal (singular),TRUE,-0.1658463535917736,0.04180623260499396,-3.9670246099133655,7.277548037365334e-5
utt_length,intercepts only,FALSE,-0.9653563106799908,0.05280384531169339,-18.281932025624904,2.0064247694133778e-73
utt_length,final (reported),FALSE,-0.9790042436579818,0.15609531978042476,-6.271835984801605,4.048287047652041e-9
utt_length,maximal (singular),TRUE,-0.9776188412328337,0.16444007526366625,-5.945137398321557,5.328769400922417e-4
semantic_distance,intercepts only,FALSE,-0.04513282167407578,0.003126335337576947,-14.436334174265445,1.3972119238953685e-46
semantic_distance,final (reported),FALSE,-0.039021622864939966,0.008564317062795942,-4.556302922792633,1.394211453445247e-4
semantic_distance,previous (singular),TRUE,-0.03900503252006886,0.008634211372997995,-4.51749798968906,2.7523165659742955e-4
