specification,singular,estimate,SE,ci_lower,ci_upper,z,p
intercepts only,FALSE,0.9262601318225905,0.027608529064868496,0.8721474148554482,0.9803728487897327,33.54978201287967,9.069101850374025e-247
final (reported),FALSE,1.5135529008092663,0.1369914097102214,1.2450497377772325,1.7820560638413,11.048524166667766,2.228481908616622e-28
maximal (singular),TRUE,1.528958079882965,0.16662182117939722,1.2023793103713465,1.8555368493945834,9.176217550981974,4.4649973043171784e-20
