subject_id,item_id,counterbalance,condition,audience_group,shared.tangram,unique.tangram,response.unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,red,H,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,D,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,A,L,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,A,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,red,A,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,H,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,D,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,A,L,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,A,B,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,H,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,blue,D,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,D,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,D,B,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,H,L,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,D,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,H,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,H,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,A,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,D,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,H,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,A,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,red,H,L,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,D,C,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,blue,H,C,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,red,A,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,red,H,C,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,A,C,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,D,C,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,A,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,D,B,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,red,D,L,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,red,A,B,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer one,blue,H,L,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,blue,D,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,refer either,blue,H,B,shared
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,H,B,unique
fbe9c050-f24d-4ae5-966b-1a87180d8065,0,b,social one,blue,A,B,unique
