specification,singular,estimate,SE,ci_lower,ci_upper,z,p
intercepts only,FALSE,0.3635532350842682,0.09054748542967266,0.15133704024968347,0.5757694299188529,4.01505611513239,1.7561530935805703e-4
final (reported),FALSE,0.45767033190615414,0.11186173826398715,0.1954999101730916,0.7198407536392166,4.091392991105493,1.2691794229546804e-4
maximal (singular),TRUE,0.4577993993194619,0.11511970516043478,0.18799327865582932,0.7276055199830944,3.9767249115297587,2.0627317553156832e-4
