subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,written_label
66d75f6b56499c908108df57,0,a,19,1,1,refer,F,H,B,Watching
66d75f6b56499c908108df57,0,a,20,3,16,refer,H,B,A,Clap
66d75f6b56499c908108df57,0,a,21,1,4,social,B,L,C,Beg
66d75f6b56499c908108df57,0,a,22,4,0,social,L,E,B,Thinking
66d75f6b56499c908108df57,0,a,23,1,2,refer,E,L,C,Beg
66d75f6b56499c908108df57,0,a,24,4,2,refer,L,J,C,Stare
66d75f6b56499c908108df57,0,a,25,0,1,refer,J,H,B,Watching
66d75f6b56499c908108df57,0,a,26,4,16,social,H,F,B,Sad
66d75f6b56499c908108df57,0,a,27,2,8,social,F,C,A,Cheer
66d75f6b56499c908108df57,0,a,28,2,16,social,C,D,A,Stare
66d75f6b56499c908108df57,0,a,29,2,16,refer,D,C,A,Clap
66d75f6b56499c908108df57,0,a,30,3,8,social,C,I,C,Leg up
66d75f6b56499c908108df57,0,a,31,2,0,refer,I,F,B,Sad
66d75f6b56499c908108df57,0,a,32,4,2,social,F,K,C,Kneeing
66d75f6b56499c908108df57,0,a,33,3,8,refer,K,D,A,Point
66d75f6b56499c908108df57,0,a,34,2,2,social,D,I,C,Leg up
66d75f6b56499c908108df57,0,a,35,1,0,social,I,B,A,Cheer
66d75f6b56499c908108df57,0,a,36,4,0,refer,B,F,B,Sad
66d75f6b56499c908108df57,0,a,37,3,0,refer,F,I,C,Kickback
66d75f6b56499c908108df57,0,a,38,3,1,refer,I,H,B,Pocket
66d75f6b56499c908108df57,0,a,39,0,4,refer,H,E,B,Thinking
66d75f6b56499c908108df57,0,a,40,2,1,refer,E,K,C,Praying
66d75f6b56499c908108df57,0,a,41,4,1,social,K,B,A,Cry
66d75f6b56499c908108df57,0,a,42,1,0,refer,B,A,A,Walking
66d75f6b56499c908108df57,0,a,43,2,4,refer,A,H,B,Stare
66d75f6b56499c908108df57,0,a,44,2,2,refer,H,F,B,Sad
66d75f6b56499c908108df57,0,a,45,0,16,refer,F,K,C,Pray
66d75f6b56499c908108df57,0,a,46,3,4,refer,K,C,A,Knee
66d75f6b56499c908108df57,0,a,47,1,1,social,C,H,B,Stare
66d75f6b56499c908108df57,0,a,48,2,8,refer,H,K,C,Knee
66d75f6b56499c908108df57,0,a,49,1,8,refer,K,I,C,Kick
66d75f6b56499c908108df57,0,a,50,0,2,refer,I,C,A,Cheer
66d75f6b56499c908108df57,0,a,51,3,4,social,C,F,B,Sad
66d75f6b56499c908108df57,0,a,52,3,16,social,F,E,B,Thinking
67c3a7fce94dfdcfaa50c277,0,a,0,2,2,social,,G,B,The yoga pose facing Right
67c3a7fce94dfdcfaa50c277,0,a,1,1,2,refer,G,L,C,Praying but not all his knees is going throgh
67c3a7fce94dfdcfaa50c277,0,a,2,0,16,refer,L,H,B,The guy sitting with no arms
67c3a7fce94dfdcfaa50c277,0,a,3,4,1,social,H,I,C,The one that looks like a standing person with one leg on the ground
67c3a7fce94dfdcfaa50c277,0,a,4,0,8,refer,I,F,B,sitting and facing right
67c3a7fce94dfdcfaa50c277,0,a,5,1,0,social,F,G,B,the one flexing his hands back
67c3a7fce94dfdcfaa50c277,0,a,6,2,8,refer,G,K,C,praying and kneeling through
67c3a7fce94dfdcfaa50c277,0,a,7,1,16,refer,K,F,B,thinking and facing right
67c3a7fce94dfdcfaa50c277,0,a,8,2,0,refer,F,B,A,arms spread wide
67c3a7fce94dfdcfaa50c277,0,a,9,3,4,social,B,F,B,the sad guy
67c3a7fce94dfdcfaa50c277,0,a,10,3,2,refer,F,J,C,with the cube head
67c3a7fce94dfdcfaa50c277,0,a,11,3,1,refer,J,A,A,the one with his leg raised up
67c3a7fce94dfdcfaa50c277,0,a,12,1,1,social,A,C,A,the one looking like he his flying
67c3a7fce94dfdcfaa50c277,0,a,13,3,4,refer,C,F,B,the one with his hands under his knees
67c3a7fce94dfdcfaa50c277,0,a,14,3,8,refer,F,D,A,the one looking like a graduation image
67c3a7fce94dfdcfaa50c277,0,a,15,2,4,refer,D,I,C,The one looking like he is skating
67c3a7fce94dfdcfaa50c277,0,a,16,3,0,refer,I,L,C,The one with arms pushed to the side and also kneeling halfway
67c3a7fce94dfdcfaa50c277,0,a,17,0,4,refer,L,J,C,the one facing you but with one hand facing the side
67c3a7fce94dfdcfaa50c277,0,a,18,2,0,social,J,F,B,The guy sitting with no arms
67c3a7fce94dfdcfaa50c277,0,a,19,3,16,refer,F,G,B,the yoga pose facing right heading tipping backwards
67c3a7fce94dfdcfaa50c277,0,a,20,4,16,social,G,H,B,The one sitting with no arms
67c3a7fce94dfdcfaa50c277,0,a,21,3,16,social,H,K,C,the one kneeling
67c3a7fce94dfdcfaa50c277,0,a,22,2,8,social,K,E,B,relaxed yoga
67c3a7fce94dfdcfaa50c277,0,a,23,2,1,social,E,I,C,yoga with one leg stretched to the side
67c3a7fce94dfdcfaa50c277,0,a,24,3,1,social,I,H,B,sitting with no arms
67c3a7fce94dfdcfaa50c277,0,a,25,2,4,social,H,F,B,the one thinking
67c3a7fce94dfdcfaa50c277,0,a,26,4,1,refer,F,H,B,The knees pointing to the left
67c3a7fce94dfdcfaa50c277,0,a,27,1,8,refer,H,D,A,graduating pose
67c3a7fce94dfdcfaa50c277,0,a,28,2,1,refer,D,B,A,arms spread wide
67c3a7fce94dfdcfaa50c277,0,a,29,1,4,social,B,C,A,floating man
67c3a7fce94dfdcfaa50c277,0,a,30,4,4,social,C,H,B,with no arms sitting
67c3a7fce94dfdcfaa50c277,0,a,31,3,0,social,H,J,C,cube head
67c3a7fce94dfdcfaa50c277,0,a,32,0,1,refer,J,G,B,arms spread back
67c3a7fce94dfdcfaa50c277,0,a,33,3,8,social,G,H,B,"sitting with no arms, knee facing left"
67c3a7fce94dfdcfaa50c277,0,a,34,4,8,refer,H,C,A,floating man
67c3a7fce94dfdcfaa50c277,0,a,35,1,4,refer,C,F,B,thinking man
67c3a7fce94dfdcfaa50c277,0,a,36,4,8,social,F,A,A,"one leg up, face down"
67c3a7fce94dfdcfaa50c277,0,a,37,0,2,refer,A,L,C,kneeling halfway
67c3a7fce94dfdcfaa50c277,0,a,38,1,16,social,L,F,B,thinking man
67c3a7fce94dfdcfaa50c277,0,a,39,4,2,social,F,H,B,sad man
67c3a7fce94dfdcfaa50c277,0,a,40,1,0,refer,H,B,A,sitting and spread wide
67c3a7fce94dfdcfaa50c277,0,a,41,2,2,refer,B,H,B,sad man
67c3a7fce94dfdcfaa50c277,0,a,42,1,2,social,H,F,B,thinking man
67c3a7fce94dfdcfaa50c277,0,a,43,4,16,refer,F,K,C,knelling all through
67c3a7fce94dfdcfaa50c277,0,a,44,1,8,social,K,L,C,kneeling halfway
67c3a7fce94dfdcfaa50c277,0,a,45,2,16,social,L,E,B,meditating
67c3a7fce94dfdcfaa50c277,0,a,46,1,1,refer,E,F,B,thinking man with no arm shown
67c3a7fce94dfdcfaa50c277,0,a,47,4,4,refer,F,L,C,kneeling halfway praying
67c3a7fce94dfdcfaa50c277,0,a,48,3,2,social,L,K,C,kneeling all through
67c3a7fce94dfdcfaa50c277,0,a,49,2,16,refer,K,I,C,strike a pose
67c3a7fce94dfdcfaa50c277,0,a,50,4,2,refer,I,A,A,"legs up, face down"
67c3a7fce94dfdcfaa50c277,0,a,51,4,0,refer,A,H,B,sad man
67c3a7fce94dfdcfaa50c277,0,a,52,4,0,social,H,C,A,flying man
671fbc862b5c7b635c9980de,0,a,0,1,1,social,,A,A,thriller
671fbc862b5c7b635c9980de,0,a,1,1,8,social,A,D,A,Priest
671fbc862b5c7b635c9980de,0,a,2,2,4,refer,D,C,A,Italian
671fbc862b5c7b635c9980de,0,a,3,1,8,refer,C,B,A,mouse head
671fbc862b5c7b635c9980de,0,a,4,1,0,refer,B,E,B,crazy hat person
671fbc862b5c7b635c9980de,0,a,5,2,1,refer,E,H,B,the innocent one
671fbc862b5c7b635c9980de,0,a,6,1,0,social,H,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,7,4,2,social,F,B,A,mouse head
671fbc862b5c7b635c9980de,0,a,8,4,0,refer,B,E,B,crazy hat person
671fbc862b5c7b635c9980de,0,a,9,0,8,refer,E,G,B,horse
671fbc862b5c7b635c9980de,0,a,10,2,0,social,G,A,A,thriller
671fbc862b5c7b635c9980de,0,a,11,4,1,refer,A,C,A,italian
671fbc862b5c7b635c9980de,0,a,12,3,16,refer,C,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,13,2,8,refer,F,D,A,priest
671fbc862b5c7b635c9980de,0,a,14,3,1,social,D,B,A,mouse head
671fbc862b5c7b635c9980de,0,a,15,4,16,refer,B,H,B,innocent guy
671fbc862b5c7b635c9980de,0,a,16,3,16,social,H,F,B,sad guy
671fbc862b5c7b635c9980de,0,a,17,2,2,social,F,A,A,thriller
671fbc862b5c7b635c9980de,0,a,18,4,1,social,A,G,B,horsee
671fbc862b5c7b635c9980de,0,a,19,4,8,refer,G,E,B,crazy hat guy
671fbc862b5c7b635c9980de,0,a,20,2,8,social,E,D,A,priest
671fbc862b5c7b635c9980de,0,a,21,4,16,social,D,G,B,horsee
