specification,singular,estimate,SE,ci_lower,ci_upper,z,p
intercepts only,FALSE,0.18390629806006453,0.12578142300249534,-0.11088769697805217,0.47870029309818124,1.4621101723138883,0.3093039618088982
final (reported),FALSE,0.18478706447447635,0.12547782612038133,-0.10929539037254449,0.4788695193214972,1.4726670853955879,0.3041108333317466
maximal (singular),TRUE,0.20319401012430904,0.13823841223408537,-0.12079543789937591,0.5271834581479939,1.4698809602951126,0.3054764004938223
