subject_id,item_id,counterbalance,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.earlier,option1.length,option1.group,option1.label,option2.tangram,option2.shared,option2.earlier,option2.length,option2.group,option2.label,response.tangram,response.shared,response.earlier,response.length,response.group,response.label,understood
c3340717-2879-4eda-abfe-08cd68995b6d,0,a,main,refer,either,blue,H,unique,earlier,27,blue,"this one you can't really see the feet, hard to tell if they're sitting or what, no arms, facing right, and nothing on top of the head",H,unique,later,2,blue,no arms,H,unique,later,2,blue,no arms,yes
c3340717-2879-4eda-abfe-08cd68995b6d,0,a,main,refer,either,red,B,shared,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",B,shared,later,1,red,mouse,B,shared,later,1,red,mouse,yes
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,A,shared,earlier,43,blue,it looks like a person kicking one foot in front of them. their head looks like it has a beak! they have a box over their right shoulder. It could also in theory looking like a person carrying another person over their shoulder.,A,shared,later,1,blue,thriller,A,shared,later,1,blue,thriller,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,one,red,H,shared,later,1,red,baby,H,,later,2,unseen,no arms,H,,later,2,unseen,no arms,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,red,C,unique,later,2,red,falling guy,C,unique,later,2,blue,no legs,C,unique,later,2,red,falling guy,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",C,unique,later,2,red,falling guy,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,red,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",C,unique,later,2,red,falling guy,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,A,shared,earlier,43,blue,it looks like a person kicking one foot in front of them. their head looks like it has a beak! they have a box over their right shoulder. It could also in theory looking like a person carrying another person over their shoulder.,A,shared,later,1,blue,thriller,A,shared,earlier,43,blue,it looks like a person kicking one foot in front of them. their head looks like it has a beak! they have a box over their right shoulder. It could also in theory looking like a person carrying another person over their shoulder.,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,red,L,unique,earlier,21,red,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",L,unique,later,1,red,zigzag,L,unique,later,1,red,zigzag,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,either,,H,shared,later,1,blue,baby,H,,later,2,unseen,no arms,H,,later,2,unseen,no arms,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,red,B,unique,later,1,red,mouse,B,unique,later,2,blue,princess dance,B,unique,later,2,blue,princess dance,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",B,unique,later,1,red,mouse,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,L,unique,later,2,blue,bent knees,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",C,unique,later,2,red,falling guy,C,unique,earlier,22,red,"almost looks like someone slipped and is falling backward with hands in the air, looks like it's from the waist up only",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,L,unique,later,2,blue,bent knees,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,H,shared,earlier,33,blue,"it's a blog in the middle with a head on top, only two shapes, sort of looks like a wrapped up baby, square head, the main shape is sort of like a hexagon",H,shared,later,1,blue,baby,H,shared,later,1,blue,baby,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,one,blue,A,shared,later,1,blue,thriller,A,,later,1,unseen,zombie,A,shared,later,1,blue,thriller,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",H,shared,later,1,red,baby,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,D,shared,later,1,blue,priest,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",A,shared,later,1,red,thriller,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,D,shared,later,1,blue,priest,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,red,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",H,shared,later,1,red,baby,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,red,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",B,unique,later,1,red,mouse,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,one,red,A,shared,later,1,red,thriller,A,,later,1,unseen,zombie,A,shared,later,1,red,thriller,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,L,unique,earlier,21,red,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",L,unique,later,1,red,zigzag,L,unique,earlier,21,red,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,B,unique,earlier,27,blue,"two triangle arms, one facing left and one facing right, kneeling a little with a leg to the side, you could say it is wearing a dress",B,unique,later,2,blue,princess dance,B,unique,earlier,27,blue,"two triangle arms, one facing left and one facing right, kneeling a little with a leg to the side, you could say it is wearing a dress",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,blue,A,shared,earlier,43,blue,it looks like a person kicking one foot in front of them. their head looks like it has a beak! they have a box over their right shoulder. It could also in theory looking like a person carrying another person over their shoulder.,A,shared,later,1,blue,thriller,A,shared,earlier,43,blue,it looks like a person kicking one foot in front of them. their head looks like it has a beak! they have a box over their right shoulder. It could also in theory looking like a person carrying another person over their shoulder.,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,red,L,unique,later,1,red,zigzag,L,unique,later,2,blue,bent knees,L,unique,later,2,blue,bent knees,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,H,shared,earlier,33,blue,"it's a blog in the middle with a head on top, only two shapes, sort of looks like a wrapped up baby, square head, the main shape is sort of like a hexagon",H,shared,later,1,blue,baby,H,shared,earlier,33,blue,"it's a blog in the middle with a head on top, only two shapes, sort of looks like a wrapped up baby, square head, the main shape is sort of like a hexagon",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,blue,C,unique,earlier,30,blue,"rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs",C,unique,later,2,blue,no legs,C,unique,later,2,blue,no legs,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,C,unique,earlier,30,blue,"rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs",C,unique,later,2,blue,no legs,C,unique,later,2,blue,no legs,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,one,red,D,shared,later,1,red,priest,D,,later,3,unseen,long sleeved book,D,shared,later,1,red,priest,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,blue,C,unique,later,2,red,falling guy,C,unique,later,2,blue,no legs,C,unique,later,2,red,falling guy,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,D,shared,earlier,18,red,"Someone facing left, their back is a straight line, sort of looks like they're holding a book open",D,shared,later,1,red,priest,D,shared,earlier,18,red,"Someone facing left, their back is a straight line, sort of looks like they're holding a book open",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,blue,C,unique,earlier,30,blue,"rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs",C,unique,later,2,blue,no legs,C,unique,later,2,blue,no legs,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,either,,D,shared,later,1,blue,priest,D,,later,3,unseen,long sleeved book,D,shared,later,1,blue,priest,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,one,blue,H,shared,later,1,blue,baby,H,,later,2,unseen,no arms,H,,later,2,unseen,no arms,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,red,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",A,shared,later,1,red,thriller,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,blue,H,shared,earlier,33,blue,"it's a blog in the middle with a head on top, only two shapes, sort of looks like a wrapped up baby, square head, the main shape is sort of like a hexagon",H,shared,later,1,blue,baby,H,shared,later,1,blue,baby,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,blue,L,unique,later,1,red,zigzag,L,unique,later,2,blue,bent knees,L,unique,later,2,blue,bent knees,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,blue,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,L,unique,later,2,blue,bent knees,L,unique,earlier,18,blue,This looks like a person giving a speech from a book again but this time with knees bent,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,L,unique,earlier,21,red,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",L,unique,later,1,red,zigzag,L,unique,earlier,21,red,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,D,shared,earlier,18,red,"Someone facing left, their back is a straight line, sort of looks like they're holding a book open",D,shared,later,1,red,priest,D,shared,earlier,18,red,"Someone facing left, their back is a straight line, sort of looks like they're holding a book open",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,social,one,blue,B,unique,later,1,red,mouse,B,unique,later,2,blue,princess dance,B,unique,later,2,blue,princess dance,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,blue,B,unique,earlier,27,blue,"two triangle arms, one facing left and one facing right, kneeling a little with a leg to the side, you could say it is wearing a dress",B,unique,later,2,blue,princess dance,B,unique,earlier,27,blue,"two triangle arms, one facing left and one facing right, kneeling a little with a leg to the side, you could say it is wearing a dress",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,social,one,blue,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,D,shared,later,1,blue,priest,D,shared,earlier,17,blue,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",A,shared,later,1,red,thriller,A,shared,earlier,41,red,"a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head and his head comes past the right side of his body by a bit",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,either,red,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",B,unique,later,1,red,mouse,B,unique,earlier,28,red,"the head is on a flat surface with a triangle stuck to the side of the head, the head and neck look a bit like a pacman mouth",no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,baseline,refer,either,,A,shared,later,1,blue,thriller,A,,later,1,unseen,zombie,A,shared,later,1,blue,thriller,no
3df25b4f-3367-4f36-b41b-5a294a37a6bf,0,b,main,refer,one,red,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",H,shared,later,1,red,baby,H,shared,earlier,25,red,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",no
