subject_id,item_id,counterbalance,condition,goal,audience,audience_group,tangram,shared,response.earlier
6d023bff-7215-4009-9eb9-942f46f20969,0,a,one refer,refer,one,red,H,unique,later
6d023bff-7215-4009-9eb9-942f46f20969,0,a,one refer,refer,one,blue,L,shared,later
6d023bff-7215-4009-9eb9-942f46f20969,0,a,one social,social,one,red,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,H,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,H,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,D,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,H,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,blue,L,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,A,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,A,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,C,shared,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,C,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,H,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,H,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,B,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,C,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,blue,A,unique,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,A,unique,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,L,shared,later
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,red,C,shared,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one refer,refer,one,red,L,shared,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,either refer,refer,either,blue,L,shared,earlier
b25706ae-fbff-4098-aba0-42a2fa2eb1c4,0,a,one social,social,one,red,D,unique,earlier
