earlier,n,empirical_stat,ci_lower,mean,ci_upper
earlier,2134,0.8298969072164948,0.8139395929158588,0.8298027544587734,0.8460448287374854
later,1484,0.7021563342318061,0.6797053131597467,0.7023317167864277,0.7260047619047622
